"","V1","V2","V3","V4"
"1",3.6605873874845,1.20495570801221,3.00431242887305,-0.208689992635592
"2",3.46729836900283,1.88405063774364,3.16800581463052,1.73100520673059
"3",3.62405502032971,1.03337162881019,4.2625275232082,1.92603081539079
"4",2.63189116004806,2.64851986828694,1.87685357684559,-2.65540754140777
"5",3.25107445435171,1.53261374752835,1.97694486114548,1.43291641366385
"6",2.66936153146183,0.302032807142448,1.56909318808563,1.15165521738729
"7",2.81729969333045,0.586254752605416,1.53219203112996,-0.686815365583079
"8",3.83315632467987,-0.0980195772199219,-0.391275631100974,-0.817060375817684
"9",2.78760530578104,0.292397056371979,0.839685498197059,-1.56427342628064
"10",2.66731917920166,1.52383604618679,0.663350836907456,-0.477454554098481
"11",1.86021349196434,0.449743990463407,-0.422534638035744,-0.793139862330255
"12",2.80242186163797,1.43643389674965,0.661332250628354,0.898832489266996
"13",3.98013100570963,-0.691632419280213,2.58860282460911,-0.0836075684270779
"14",2.28813627521666,-0.249091305690055,0.843003659145688,0.299724352658859
"15",4.44007315561954,2.39269333092567,2.81572932580533,1.60599683877906
"16",2.51839508738616,0.739200038405669,3.23198479706257,-0.118265243110176
"17",2.39181664828012,1.63202686548735,1.70216954136806,-1.54922842660612
"18",2.15063745075742,2.00510779811349,0.653260034938972,-0.0255437690542051
"19",3.1250309968873,1.16536314942,1.48096590879964,-0.666685700570541
"20",3.91678985113084,1.58120163366417,2.95036261542765,0.770378744668246
"21",3.9624285892446,1.05146024649382,1.66706734281325,0.450412027758079
"22",2.81776614717387,0.440750667136943,1.65720803584257,0.0258076791566288
"23",3.93617405330591,0.746265707153407,0.965361602845544,-0.336617616745721
"24",2.24590364549165,0.664223337659015,1.03239283474643,-0.0878951060365381
"25",1.87220791260991,1.10307245347248,0.285573299710142,0.669212467931967
"26",3.08727046503122,0.0471176009886165,2.63403932582619,0.629524288042868
"27",3.57633877701837,1.42147066680435,2.47045110005618,-1.26073166768359
"28",3.92074474513688,1.37609344762431,2.26876691899955,-0.543523282522135
"29",0.839442893074137,0.848527262136214,0.602944132927623,-0.958836779070277
"30",4.90499825931329,1.53874796505909,1.2413114889479,0.267998631937141
"31",0.605672639870729,-4.1972872809157,-3.76007694625675,-4.64533231108107
"32",-0.582129316494831,-4.27319106738674,-2.6805108476394,-6.03241990928383
"33",-0.781639191987578,-3.42891532729271,-2.51740122631623,-4.86822516220938
