"","V1","V2"
"1",-2.70002346853833,-4.01308529025665
"2",-2.20795334467456,-2.39121164756148
"3",-4.51175297776988,-3.94931669788152
"4",-0.600093528414734,-3.81542666392967
"5",-1.6310221171217,-4.35938880627046
"6",-1.26458308761157,-3.93427814970363
"7",-1.76322465319064,-3.13866979671947
"8",-2.3001978714754,-2.39749206681295
"9",-2.12425822258655,-5.14880033913513
"10",-0.898110715740289,-3.58680634104634
"11",-1.75390431857288,-2.58985363514916
"12",-1.17298404708196,-3.06215403702121
"13",-2.47812822446008,-4.73944587532674
"14",-2.09358960024203,-3.67338322030286
"15",-0.593910103420443,-3.02617391114948
"16",-2.96523842280194,-3.35629389481133
"17",-0.790618523998654,-3.53571494281729
"18",-1.79912100487702,-2.7219849421658
"19",-2.94297721916724,-3.51140535797398
"20",-0.83257115214797,-4.36944091601915
"21",-2.1446595846656,-3.30999063263722
"22",-1.87924497536595,-1.10036127318958
"23",-2.19603076633898,-2.0020011807631
"24",-3.0699296049855,-1.66841669217212
"25",-2.88897949320636,-3.64861984586423
"26",-2.21767598101283,-1.81731994072505
"27",-2.5587119914584,-4.7436313038707
"28",-1.53531009562184,-4.18674918838668
"29",-1.5549280310771,-2.45084312768472
"30",-3.54282601049823,-3.29754445347571
"31",-1.43922216796342,-5.14967478806309
"32",-1.65897587414771,-1.73130078685923
"33",-2.09781267142061,-2.91980061110219
"34",-1.52943927238689,-3.38829231532067
"35",0.669132390249813,-3.00642597859628
"36",-2.60440243094891,-3.50128334935141
"37",-2.61245907846959,-1.95997564812488
"38",-0.698403411720855,-2.51861882056731
"39",-2.5588179411582,-2.45951419993832
"40",-1.66641907587811,-3.5859412314989
"41",-2.5037474223521,-3.76340587108893
"42",-1.23888831727988,-3.44502181744236
"43",-2.00967462422344,-1.23271410986723
"44",-2.80555993733235,-2.18658335042524
"45",-1.40118876608829,-3.01549953932362
"46",-3.04763361114506,-3.27701706742813
"47",-2.31628769683314,-3.35578885243832
"48",-2.84570249267095,-3.04453982647424
"49",-3.25702692157272,-3.72123870514089
"50",0.0476472498941281,-3.46852439836613
"51",-2.26131514592781,-4.28610476757778
"52",-2.53884316487966,-1.26678890316504
"53",-1.36174719354817,-2.20751424608213
"54",-0.540142362986663,-3.04279711255831
"55",-0.693561898644264,-3.33665329375033
"56",-2.24859790094862,-3.20353529572292
"57",-1.84064675383297,-4.87298453614031
"58",-2.56338850547532,-5.30288195525036
"59",-1.6024135503479,-2.5212436655191
"60",-1.2235300733973,-1.12640338360297
"61",-0.159695048081197,-2.46174239220329
"62",-1.53614537267152,-4.52157454866939
"63",-3.37734933634135,-1.56850129570326
"64",-2.59825111418882,-3.37494853434347
"65",-3.70747050794282,-2.71340726125736
"66",-1.99946841955477,-3.73191878908979
